time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,,,15,7
2025-10-13 00:00:00+00:00,1.0,1.0,26,10
2025-10-14 00:00:00+00:00,,,43,13
2025-10-15 00:00:00+00:00,8.0,5.0,9,9
2025-10-16 00:00:00+00:00,5.0,4.0,32,7
2025-10-17 00:00:00+00:00,,,26,10
2025-10-18 00:00:00+00:00,2.0,2.0,6,4
2025-10-19 00:00:00+00:00,1.0,1.0,2,2
2025-10-20 00:00:00+00:00,4.0,4.0,13,5
2025-10-21 00:00:00+00:00,,,29,12
2025-10-22 00:00:00+00:00,,,4,3
2025-10-23 00:00:00+00:00,,,2,1
2025-10-24 00:00:00+00:00,,,20,7
2025-10-25 00:00:00+00:00,,,2,1
