time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-19 00:00:00+00:00,0,0,4,2
2023-10-20 00:00:00+00:00,0,0,1,1
2023-10-21 00:00:00+00:00,0,0,7,5
2023-10-22 00:00:00+00:00,0,0,3,3
2023-10-23 00:00:00+00:00,0,0,2,2
2023-10-24 00:00:00+00:00,0,0,6,3
2023-10-26 00:00:00+00:00,1,1,0,0
2023-10-27 00:00:00+00:00,1,1,0,0
2023-10-28 00:00:00+00:00,0,0,7,2
2023-10-29 00:00:00+00:00,0,0,10,3
2023-10-30 00:00:00+00:00,0,0,3,1
2023-10-31 00:00:00+00:00,0,0,7,3
2023-11-01 00:00:00+00:00,0,0,1,1
2023-11-02 00:00:00+00:00,0,0,5,2
2023-11-04 00:00:00+00:00,0,0,2,2
2023-11-06 00:00:00+00:00,0,0,8,2
2023-11-07 00:00:00+00:00,0,0,9,2
2023-11-08 00:00:00+00:00,0,0,1,1
2023-11-10 00:00:00+00:00,0,0,1,1
2023-11-11 00:00:00+00:00,0,0,9,1
2023-11-13 00:00:00+00:00,0,0,1,1
2023-11-14 00:00:00+00:00,11,10,9,3
2023-11-15 00:00:00+00:00,2,2,0,0
2023-11-17 00:00:00+00:00,0,0,4,2
2023-11-20 00:00:00+00:00,1,1,0,0
2023-11-21 00:00:00+00:00,2,2,15,1
2023-11-23 00:00:00+00:00,0,0,12,1
2023-11-24 00:00:00+00:00,1,1,0,0
2023-11-26 00:00:00+00:00,0,0,6,1
2023-11-27 00:00:00+00:00,0,0,6,2
2023-11-28 00:00:00+00:00,0,0,2,1
2023-11-30 00:00:00+00:00,0,0,1,1
2023-12-03 00:00:00+00:00,0,0,3,1
2023-12-04 00:00:00+00:00,0,0,8,1
2023-12-05 00:00:00+00:00,0,0,6,2
2023-12-07 00:00:00+00:00,1,1,0,0
2023-12-09 00:00:00+00:00,0,0,3,2
2023-12-14 00:00:00+00:00,0,0,1,1
2023-12-17 00:00:00+00:00,0,0,1,1
2023-12-18 00:00:00+00:00,0,0,1,1
2023-12-20 00:00:00+00:00,0,0,6,1
2023-12-23 00:00:00+00:00,4,4,0,0
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,0,0,7,1
2023-12-27 00:00:00+00:00,0,0,14,3
2023-12-28 00:00:00+00:00,2,2,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,10,4
2024-01-03 00:00:00+00:00,1,1,4,1
2024-01-04 00:00:00+00:00,0,0,20,3
2024-01-05 00:00:00+00:00,0,0,8,3
2024-01-06 00:00:00+00:00,0,0,9,2
2024-01-07 00:00:00+00:00,0,0,5,2
2024-01-08 00:00:00+00:00,0,0,41,5
2024-01-09 00:00:00+00:00,0,0,20,4
2024-01-10 00:00:00+00:00,0,0,6,2
2024-01-11 00:00:00+00:00,0,0,13,5
2024-01-12 00:00:00+00:00,1,1,52,6
2024-01-13 00:00:00+00:00,0,0,90,13
2024-01-14 00:00:00+00:00,0,0,109,16
2024-01-15 00:00:00+00:00,0,0,116,19
2024-01-16 00:00:00+00:00,1,1,43,13
2024-01-17 00:00:00+00:00,0,0,2,1
2024-01-18 00:00:00+00:00,0,0,10,2
2024-01-19 00:00:00+00:00,0,0,2,1
2024-01-22 00:00:00+00:00,0,0,17,1
2024-01-23 00:00:00+00:00,1,1,0,0
2024-01-24 00:00:00+00:00,1,1,4,2
2024-01-25 00:00:00+00:00,0,0,1,1
2024-01-27 00:00:00+00:00,0,0,2,1
2024-01-31 00:00:00+00:00,0,0,1,1
2024-02-02 00:00:00+00:00,0,0,6,1
2024-02-05 00:00:00+00:00,1,1,0,0
2024-02-06 00:00:00+00:00,0,0,1,1
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-11 00:00:00+00:00,0,0,25,1
2024-02-15 00:00:00+00:00,0,0,1,1
2024-02-26 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,1,1,1,1
2024-02-29 00:00:00+00:00,0,0,1,1
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,0,0,2,2
2024-03-05 00:00:00+00:00,0,0,8,2
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-08 00:00:00+00:00,1,1,0,0
2024-03-09 00:00:00+00:00,0,0,2,2
2024-03-10 00:00:00+00:00,1,1,2,2
2024-03-11 00:00:00+00:00,0,0,1,1
2024-03-15 00:00:00+00:00,0,0,2,1
2024-03-20 00:00:00+00:00,0,0,7,1
2024-03-21 00:00:00+00:00,0,0,2,1
2024-03-22 00:00:00+00:00,0,0,4,2
2024-03-23 00:00:00+00:00,0,0,3,1
2024-03-24 00:00:00+00:00,0,0,1,1
2024-03-26 00:00:00+00:00,0,0,1,1
2024-03-28 00:00:00+00:00,1,1,0,0
2024-03-30 00:00:00+00:00,0,0,1,1
2024-03-31 00:00:00+00:00,0,0,1,1
