time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-01 00:00:00+00:00,3.0,3.0,49,12
2024-12-02 00:00:00+00:00,3.0,3.0,109,25
2024-12-03 00:00:00+00:00,1.0,1.0,77,20
2024-12-04 00:00:00+00:00,,,62,20
2024-12-05 00:00:00+00:00,,,33,11
2024-12-06 00:00:00+00:00,,,20,8
2024-12-07 00:00:00+00:00,,,41,9
2024-12-08 00:00:00+00:00,,,26,12
2024-12-09 00:00:00+00:00,1.0,1.0,70,15
2024-12-10 00:00:00+00:00,,,36,12
2024-12-11 00:00:00+00:00,,,38,9
2024-12-12 00:00:00+00:00,2.0,2.0,50,16
2024-12-13 00:00:00+00:00,,,28,10
2024-12-14 00:00:00+00:00,,,33,9
