time_iso8601,stars_cumulative
2020-10-30 00:00:00+00:00,1
2020-11-23 00:00:00+00:00,2
2020-12-01 00:00:00+00:00,3
2021-02-17 00:00:00+00:00,4
2021-03-04 00:00:00+00:00,5
2021-03-15 00:00:00+00:00,6
2021-05-24 00:00:00+00:00,8
2021-10-13 00:00:00+00:00,9
2021-11-06 00:00:00+00:00,10
2022-02-26 00:00:00+00:00,11
2022-03-17 00:00:00+00:00,12
2022-05-16 00:00:00+00:00,13
2022-05-21 00:00:00+00:00,14
2023-02-20 00:00:00+00:00,15
2023-04-06 00:00:00+00:00,16
2023-04-21 00:00:00+00:00,17
2023-04-22 00:00:00+00:00,18
2023-04-23 00:00:00+00:00,19
2023-04-24 00:00:00+00:00,20
2023-05-21 00:00:00+00:00,21
2023-08-07 00:00:00+00:00,22
2023-10-06 00:00:00+00:00,23
2023-10-09 00:00:00+00:00,24
2023-10-11 00:00:00+00:00,25
2024-01-10 00:00:00+00:00,26
2024-02-21 00:00:00+00:00,27
2024-02-26 00:00:00+00:00,30
2024-02-28 00:00:00+00:00,31
2024-03-08 00:00:00+00:00,34
2024-03-11 00:00:00+00:00,36
2024-03-12 00:00:00+00:00,37
2024-03-13 00:00:00+00:00,38
2024-03-24 00:00:00+00:00,39
2024-04-03 00:00:00+00:00,40
2024-04-16 00:00:00+00:00,41
