time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-19 00:00:00+00:00,1,1,116,14
2023-10-20 00:00:00+00:00,1,1,193,22
2023-10-21 00:00:00+00:00,0,0,374,17
2023-10-22 00:00:00+00:00,2,2,129,10
2023-10-23 00:00:00+00:00,3,1,180,22
2023-10-24 00:00:00+00:00,0,0,141,13
2023-10-25 00:00:00+00:00,0,0,187,20
2023-10-26 00:00:00+00:00,1,1,207,20
2023-10-27 00:00:00+00:00,1,1,216,26
2023-10-28 00:00:00+00:00,0,0,236,21
2023-10-29 00:00:00+00:00,0,0,253,24
2023-10-30 00:00:00+00:00,3,1,343,32
2023-10-31 00:00:00+00:00,0,0,164,17
2023-11-01 00:00:00+00:00,0,0,96,13
2023-11-02 00:00:00+00:00,0,0,165,18
2023-11-03 00:00:00+00:00,0,0,49,14
2023-11-04 00:00:00+00:00,0,0,45,5
2023-11-05 00:00:00+00:00,0,0,20,6
